date,steps,distanceM,runDistance,caloriesBurned,distanceKm,runDistanceKm
31/08/2016,11645,8758,697,495,8.758,0.697
01/09/2016,16011,11113,278,790,11.113,0.278
02/09/2016,21420,16047,113,946,16.047,0.113
03/09/2016,0,0,0,0,0.000,0.000
04/09/2016,0,0,0,0,0.000,0.000
05/09/2016,0,0,0,0,0.000,0.000
06/09/2016,0,0,0,0,0.000,0.000
07/09/2016,0,0,0,0,0.000,0.000
08/09/2016,0,0,0,0,0.000,0.000
09/09/2016,0,0,0,0,0.000,0.000
10/09/2016,0,0,0,0,0.000,0.000
11/09/2016,12045,9011,393,553,9.011,0.393
12/09/2016,15082,11275,700,679,11.275,0.700
13/09/2016,21065,15026,1418,881,15.026,1.418
14/09/2016,12903,9436,1760,548,9.436,1.760
15/09/2016,28063,20747,584,1197,20.747,0.584
16/09/2016,19197,14346,128,811,14.346,0.128
17/09/2016,12004,8640,372,544,8.640,0.372
18/09/2016,8219,5740,778,416,5.740,0.778
19/09/2016,19781,14387,2499,833,14.387,2.499
20/09/2016,27085,19665,2344,1067,19.665,2.344
21/09/2016,30265,21630,2662,1311,21.630,2.662
22/09/2016,14753,10554,1575,652,10.554,1.575
23/09/2016,11071,7738,1723,575,7.738,1.723
24/09/2016,1244,804,0,102,0.804,0.000
25/09/2016,17736,12438,754,790,12.438,0.754
26/09/2016,26795,20174,475,1124,20.174,0.475
27/09/2016,13561,10107,738,622,10.107,0.738
28/09/2016,16191,11283,310,806,11.283,0.310
29/09/2016,18566,13080,1284,892,13.080,1.284
30/09/2016,14748,10758,1452,646,10.758,1.452
01/10/2016,7404,5374,145,358,5.374,0.145
02/10/2016,145,94,0,7,0.094,0.000
03/10/2016,0,0,0,0,0.000,0.000
04/10/2016,0,0,0,0,0.000,0.000
05/10/2016,0,0,0,0,0.000,0.000
06/10/2016,0,0,0,0,0.000,0.000
07/10/2016,0,0,0,0,0.000,0.000
08/10/2016,0,0,0,0,0.000,0.000
09/10/2016,10575,7929,311,403,7.929,0.311
10/10/2016,15274,11166,4765,651,11.166,4.765
11/10/2016,15986,11509,1616,721,11.509,1.616
12/10/2016,23345,16446,1348,1060,16.446,1.348
13/10/2016,23901,16759,2219,1062,16.759,2.219
14/10/2016,15237,11413,846,605,11.413,0.846
15/10/2016,4352,3278,41,231,3.278,0.041
16/10/2016,5291,3518,234,333,3.518,0.234
17/10/2016,8547,6132,957,377,6.132,0.957
18/10/2016,17119,12351,169,800,12.351,0.169
19/10/2016,25874,18919,310,1141,18.919,0.310
20/10/2016,21677,15214,1035,990,15.214,1.035
21/10/2016,22065,16156,1547,921,16.156,1.547
22/10/2016,6318,4711,57,315,4.711,0.057
23/10/2016,17824,13232,83,678,13.232,0.083
24/10/2016,14187,10112,2132,343,10.112,2.132
25/10/2016,18272,12947,793,439,12.947,0.793
26/10/2016,15063,11494,296,413,11.494,0.296
