date,steps,distanceM,runDistance,caloriesBurned,distanceKm,runDistanceKm
30/10/2017,8055,5862,739,213,5.862,0.739
31/10/2017,8290,6033,448,220,6.033,0.448
01/11/2017,7222,5229,240,193,5.229,0.240
02/11/2017,3469,2490,205,88,2.490,0.205
03/11/2017,5054,3493,329,122,3.493,0.329
04/11/2017,12440,8736,520,298,8.736,0.520
05/11/2017,542,350,66,16,0.350,0.066
06/11/2017,5090,3815,179,139,3.815,0.179
07/11/2017,3102,2187,175,81,2.187,0.175
08/11/2017,4217,2911,277,104,2.911,0.277
09/11/2017,8765,5924,666,196,5.924,0.666
10/11/2017,8531,6021,458,206,6.021,0.458
11/11/2017,5692,3756,495,130,3.756,0.495
12/11/2017,324,209,82,10,0.209,0.082
13/11/2017,4251,2936,482,105,2.936,0.482
14/11/2017,11415,8582,430,302,8.582,0.430
15/11/2017,3822,2722,242,104,2.722,0.242
16/11/2017,2727,1955,112,76,1.955,0.112
17/11/2017,8457,6228,1093,233,6.228,1.093
18/11/2017,9790,6854,656,242,6.854,0.656
19/11/2017,2394,1781,135,67,1.781,0.135
20/11/2017,4075,2889,219,108,2.889,0.219
21/11/2017,11289,7731,537,254,7.731,0.537
22/11/2017,13383,10198,283,369,10.198,0.283
23/11/2017,6632,4709,301,169,4.709,0.301
24/11/2017,4536,3253,365,119,3.253,0.365
25/11/2017,4204,2838,387,101,2.838,0.387
26/11/2017,9053,6930,208,259,6.930,0.208
27/11/2017,9377,6616,1113,240,6.616,1.113
28/11/2017,7817,5256,632,180,5.256,0.632
29/11/2017,5089,3438,389,126,3.438,0.389
30/11/2017,3702,2593,202,95,2.593,0.202
01/12/2017,8291,5506,537,191,5.506,0.537
02/12/2017,5275,3563,423,122,3.563,0.423
03/12/2017,658,425,72,17,0.425,0.072
04/12/2017,5648,4030,410,146,4.030,0.410
05/12/2017,3628,2565,356,95,2.565,0.356
06/12/2017,4327,2898,514,105,2.898,0.514
07/12/2017,4870,3331,374,122,3.331,0.374
08/12/2017,12568,8771,645,283,8.771,0.645
09/12/2017,4162,2744,326,93,2.744,0.326
10/12/2017,2430,1709,156,61,1.709,0.156
11/12/2017,4813,3463,243,123,3.463,0.243
12/12/2017,13753,10121,436,350,10.121,0.436
13/12/2017,3183,2245,193,78,2.245,0.193
14/12/2017,4000,2813,285,103,2.813,0.285
15/12/2017,10766,7991,167,277,7.991,0.167
16/12/2017,10511,7735,140,256,7.735,0.140
17/12/2017,1901,1401,112,53,1.401,0.112
18/12/2017,6269,4478,99,152,4.478,0.099
19/12/2017,646,418,71,21,0.418,0.071
20/12/2017,2541,1836,162,68,1.836,0.162
21/12/2017,562,363,114,18,0.363,0.114
22/12/2017,10005,7549,381,270,7.549,0.381
23/12/2017,2837,1868,248,69,1.868,0.248
24/12/2017,25469,19348,285,672,19.348,0.285
25/12/2017,307,198,64,11,0.198,0.064
26/12/2017,2164,1495,119,53,1.495,0.119
27/12/2017,10611,8215,181,289,8.215,0.181
28/12/2017,430,278,89,15,0.278,0.089
29/12/2017,1963,1475,99,54,1.475,0.099
30/12/2017,8411,6359,168,233,6.359,0.168
31/12/2017,2632,1893,127,72,1.893,0.127
01/01/2018,690,446,88,22,0.446,0.088
02/01/2018,4145,3187,273,125,3.187,0.273
03/01/2018,1759,1137,234,48,1.137,0.234
04/01/2018,10697,7222,439,247,7.222,0.439
05/01/2018,8593,5770,325,191,5.770,0.325
06/01/2018,635,410,97,18,0.410,0.097
07/01/2018,2743,1886,168,68,1.886,0.168
08/01/2018,671,434,123,20,0.434,0.123
09/01/2018,3083,2251,465,94,2.251,0.465
10/01/2018,685,443,85,22,0.443,0.085
11/01/2018,777,502,170,24,0.502,0.170
12/01/2018,5282,4000,227,150,4.000,0.227
13/01/2018,1549,1127,54,40,1.127,0.054
14/01/2018,7053,5035,321,177,5.035,0.321
15/01/2018,6663,4840,364,174,4.840,0.364
16/01/2018,4705,3292,177,120,3.292,0.177
17/01/2018,3715,2594,151,96,2.594,0.151
18/01/2018,23706,17380,3304,635,17.380,3.304
19/01/2018,844,546,94,23,0.546,0.094
20/01/2018,43,28,8,2,0.028,0.008
21/01/2018,26052,18538,309,605,18.538,0.309
22/01/2018,10567,7994,406,296,7.994,0.406
23/01/2018,8427,5918,509,199,5.918,0.509
24/01/2018,31246,23121,409,744,23.121,0.409
25/01/2018,4258,2807,317,96,2.807,0.317
26/01/2018,16689,12012,412,395,12.012,0.412
27/01/2018,1127,728,78,23,0.728,0.078
28/01/2018,9111,6182,301,191,6.182,0.301
29/01/2018,2531,1642,317,58,1.642,0.317
30/01/2018,4145,2723,264,89,2.723,0.264
31/01/2018,2485,1633,145,59,1.633,0.145
01/02/2018,10731,7376,306,231,7.376,0.306
02/02/2018,3814,2654,272,88,2.654,0.272
03/02/2018,1801,1164,126,40,1.164,0.126
04/02/2018,8889,6296,256,207,6.296,0.256
05/02/2018,2329,1513,224,54,1.513,0.224
06/02/2018,13372,9678,360,335,9.678,0.360
07/02/2018,9698,6606,556,221,6.606,0.556
08/02/2018,18029,13011,275,412,13.011,0.275
09/02/2018,6383,4278,273,145,4.278,0.273
10/02/2018,11154,7679,324,251,7.679,0.324
11/02/2018,8192,5334,532,180,5.334,0.532
12/02/2018,3394,2202,306,84,2.202,0.306
13/02/2018,12591,8857,402,282,8.857,0.402
14/02/2018,19825,13708,697,439,13.708,0.697
15/02/2018,6986,4605,425,156,4.605,0.425
16/02/2018,12846,9151,249,293,9.151,0.249
17/02/2018,6938,4801,313,158,4.801,0.313
18/02/2018,10075,6750,318,214,6.750,0.318
19/02/2018,3224,2084,278,74,2.084,0.278
20/02/2018,3475,2507,133,83,2.507,0.133
21/02/2018,271,175,39,6,0.175,0.039
22/02/2018,3812,2595,230,89,2.595,0.230
23/02/2018,2932,1906,293,67,1.906,0.293
24/02/2018,5017,3377,326,117,3.377,0.326
25/02/2018,3783,2487,319,81,2.487,0.319
26/02/2018,3043,2002,205,67,2.002,0.205
27/02/2018,16682,12410,1538,440,12.410,1.538
28/02/2018,18167,13282,376,429,13.282,0.376
01/03/2018,6364,4326,249,137,4.326,0.249
02/03/2018,17737,12751,455,408,12.751,0.455
03/03/2018,3654,2528,166,82,2.528,0.166
04/03/2018,11302,8329,307,285,8.329,0.307
05/03/2018,2948,1906,188,65,1.906,0.188
06/03/2018,14543,10775,1668,383,10.775,1.668
07/03/2018,15170,11338,2080,407,11.338,2.080
08/03/2018,3675,2459,177,80,2.459,0.177
09/03/2018,8215,5925,262,204,5.925,0.262
10/03/2018,12053,9049,82,302,9.049,0.082
11/03/2018,6464,4670,101,155,4.670,0.101
12/03/2018,6345,4642,39,149,4.642,0.039
13/03/2018,13224,10262,256,376,10.262,0.256
14/03/2018,21348,15775,147,499,15.775,0.147
15/03/2018,11797,8548,170,269,8.548,0.170
16/03/2018,4803,3443,164,114,3.443,0.164
17/03/2018,7480,5001,398,160,5.001,0.398
18/03/2018,7805,5511,269,175,5.511,0.269
19/03/2018,3092,2066,170,67,2.066,0.170
20/03/2018,4592,3176,283,107,3.176,0.283
21/03/2018,451,292,65,13,0.292,0.065
22/03/2018,34,22,7,1,0.022,0.007
23/03/2018,1171,762,105,24,0.762,0.105
24/03/2018,5350,3791,204,125,3.791,0.204
25/03/2018,2332,1516,202,53,1.516,0.202
26/03/2018,2442,1612,121,55,1.612,0.121
27/03/2018,2410,1566,227,54,1.566,0.227
28/03/2018,5882,4182,316,139,4.182,0.316
29/03/2018,2902,1919,212,67,1.919,0.212
30/03/2018,2542,1661,149,52,1.661,0.149
31/03/2018,6775,4580,328,156,4.580,0.328
01/04/2018,2692,1754,333,68,1.754,0.333
02/04/2018,19909,14723,446,487,14.723,0.446
03/04/2018,6245,4086,434,132,4.086,0.434
04/04/2018,3019,2025,264,73,2.025,0.264
05/04/2018,3896,2551,293,88,2.551,0.293
06/04/2018,12281,8990,251,288,8.990,0.251
07/04/2018,31019,21576,622,680,21.576,0.622
08/04/2018,32547,22652,469,707,22.652,0.469
09/04/2018,23500,15989,250,495,15.989,0.250
10/04/2018,12748,8698,154,265,8.698,0.154
11/04/2018,22217,15636,450,493,15.636,0.450
12/04/2018,9083,6098,236,199,6.098,0.236
13/04/2018,26254,18549,398,582,18.549,0.398
14/04/2018,23288,15536,343,465,15.536,0.343
15/04/2018,13955,9436,435,301,9.436,0.435
16/04/2018,19165,13415,331,425,13.415,0.331
17/04/2018,29079,20180,467,625,20.180,0.467
18/04/2018,5382,3535,340,119,3.535,0.340
19/04/2018,8178,5589,443,195,5.589,0.443
20/04/2018,23292,16859,476,542,16.859,0.476
21/04/2018,23681,16541,374,515,16.541,0.374
22/04/2018,3534,2397,266,89,2.397,0.266
23/04/2018,2886,2024,348,79,2.024,0.348
24/04/2018,4720,3594,237,141,3.594,0.237
25/04/2018,775,501,114,23,0.501,0.114
26/04/2018,511,330,77,17,0.330,0.077
27/04/2018,961,621,150,29,0.621,0.150
28/04/2018,482,312,72,16,0.312,0.072
29/04/2018,456,295,56,14,0.295,0.056
30/04/2018,4453,3329,129,115,3.329,0.129
01/05/2018,12219,9490,352,358,9.490,0.352
02/05/2018,9761,7348,353,273,7.348,0.353
03/05/2018,15949,11963,309,399,11.963,0.309
04/05/2018,3347,2369,165,91,2.369,0.165
05/05/2018,25854,19509,436,656,19.509,0.436
06/05/2018,895,579,117,31,0.579,0.117
07/05/2018,873,564,150,26,0.564,0.150
08/05/2018,7851,5903,315,219,5.903,0.315
09/05/2018,4060,3040,170,118,3.040,0.170
10/05/2018,660,427,111,22,0.427,0.111
11/05/2018,2462,1789,177,67,1.789,0.177
12/05/2018,12813,9938,553,375,9.938,0.553
13/05/2018,2348,1659,150,63,1.659,0.150
14/05/2018,1059,685,104,31,0.685,0.104
15/05/2018,8586,6765,162,253,6.765,0.162
16/05/2018,20205,15176,507,548,15.176,0.507
17/05/2018,12935,9889,356,367,9.889,0.356
18/05/2018,866,560,107,25,0.560,0.107
19/05/2018,2405,1704,190,62,1.704,0.190
20/05/2018,437,282,52,13,0.282,0.052
21/05/2018,10996,8144,385,289,8.144,0.385
22/05/2018,30821,23125,782,797,23.125,0.782
23/05/2018,10259,7809,277,276,7.809,0.277
24/05/2018,12198,8651,845,299,8.651,0.845
25/05/2018,11353,8771,369,334,8.771,0.369
26/05/2018,7967,5693,225,194,5.693,0.225
27/05/2018,4646,3503,245,137,3.503,0.245
28/05/2018,11496,8240,550,284,8.240,0.550
29/05/2018,11762,8900,623,313,8.900,0.623
30/05/2018,25523,19419,383,668,19.419,0.383
31/05/2018,16878,12535,574,445,12.535,0.574
01/06/2018,10058,7625,421,281,7.625,0.421
02/06/2018,550,356,61,16,0.356,0.061
03/06/2018,9824,7342,309,259,7.342,0.309
04/06/2018,16021,12165,293,423,12.165,0.293
05/06/2018,23052,17658,586,638,17.658,0.586
06/06/2018,2037,1376,262,52,1.376,0.262
07/06/2018,6853,4882,351,166,4.882,0.351
08/06/2018,8010,5960,305,216,5.960,0.305
09/06/2018,9754,7166,576,253,7.166,0.576
10/06/2018,11912,8951,836,316,8.951,0.836
11/06/2018,6404,4154,543,143,4.154,0.543
12/06/2018,6583,4364,363,147,4.364,0.363
13/06/2018,23325,16699,825,553,16.699,0.825
14/06/2018,6893,4937,443,165,4.937,0.443
15/06/2018,15944,11308,418,377,11.308,0.418
16/06/2018,504,326,104,18,0.326,0.104
17/06/2018,4112,3098,209,117,3.098,0.209
18/06/2018,21672,15739,695,540,15.739,0.695
19/06/2018,7441,5477,522,193,5.477,0.522
20/06/2018,21969,16240,263,538,16.240,0.263
21/06/2018,942,609,79,24,0.609,0.079
22/06/2018,11204,8169,974,288,8.169,0.974
23/06/2018,19549,14417,400,468,14.417,0.400
24/06/2018,14428,10315,440,345,10.315,0.440
25/06/2018,32452,23487,481,742,23.487,0.481
26/06/2018,11609,8222,350,284,8.222,0.350
27/06/2018,7496,5334,298,178,5.334,0.298
28/06/2018,17544,12651,515,431,12.651,0.515
29/06/2018,748,483,83,20,0.483,0.083
30/06/2018,4837,3189,228,101,3.189,0.228
01/07/2018,4332,3248,171,121,3.248,0.171
02/07/2018,19088,13341,856,441,13.341,0.856
03/07/2018,24347,17648,846,612,17.648,0.846
04/07/2018,675,436,120,20,0.436,0.120
05/07/2018,2831,1964,121,70,1.964,0.121
06/07/2018,6193,4454,183,157,4.454,0.183
07/07/2018,13472,10588,326,408,10.588,0.326
08/07/2018,1008,652,70,27,0.652,0.070
09/07/2018,11770,8287,770,282,8.287,0.770
10/07/2018,14775,10911,490,393,10.911,0.490
11/07/2018,1012,654,145,28,0.654,0.145
12/07/2018,1323,855,198,39,0.855,0.198
13/07/2018,15506,11303,661,408,11.303,0.661
14/07/2018,2099,1516,181,57,1.516,0.181
15/07/2018,1110,717,94,28,0.717,0.094
16/07/2018,26510,19851,761,698,19.851,0.761
17/07/2018,809,523,118,25,0.523,0.118
18/07/2018,530,343,114,16,0.343,0.114
19/07/2018,4034,2884,131,104,2.884,0.131
20/07/2018,639,413,80,21,0.413,0.080
21/07/2018,2923,2176,158,83,2.176,0.158
22/07/2018,29767,21943,377,720,21.943,0.377
23/07/2018,14913,10478,602,338,10.478,0.602
24/07/2018,3105,2272,146,81,2.272,0.146
25/07/2018,1037,670,113,28,0.670,0.113
26/07/2018,16949,12268,273,401,12.268,0.273
27/07/2018,8090,5897,372,202,5.897,0.372
28/07/2018,15858,10815,324,335,10.815,0.324
29/07/2018,5417,3696,287,119,3.696,0.287
30/07/2018,14412,10589,237,347,10.589,0.237
31/07/2018,9136,6569,461,224,6.569,0.461
01/08/2018,16284,12140,374,416,12.140,0.374
02/08/2018,7484,5589,362,206,5.589,0.362
03/08/2018,7074,5218,349,181,5.218,0.349
04/08/2018,1888,1297,92,45,1.297,0.092
05/08/2018,7703,5818,135,197,5.818,0.135
06/08/2018,8984,6618,508,238,6.618,0.508
07/08/2018,10729,7884,712,268,7.884,0.712
08/08/2018,8965,6764,390,248,6.764,0.390
09/08/2018,7195,5128,338,176,5.128,0.338
10/08/2018,438,283,88,15,0.283,0.088
11/08/2018,24,16,15,1,0.016,0.015
12/08/2018,11337,8256,462,293,8.256,0.462
13/08/2018,6081,4453,211,155,4.453,0.211
14/08/2018,13673,10250,382,357,10.250,0.382
15/08/2018,8837,6570,366,238,6.570,0.366
16/08/2018,7871,5787,411,203,5.787,0.411
17/08/2018,7678,5552,342,198,5.552,0.342
18/08/2018,10879,7893,534,278,7.893,0.534
19/08/2018,12689,9375,190,303,9.375,0.190
20/08/2018,13143,9648,593,341,9.648,0.593
21/08/2018,12496,9004,700,308,9.004,0.700
22/08/2018,8483,6228,601,215,6.228,0.601
23/08/2018,5864,3818,448,128,3.818,0.448
24/08/2018,8635,6351,534,227,6.351,0.534
25/08/2018,13707,10009,439,330,10.009,0.439
26/08/2018,18422,13482,366,456,13.482,0.366
27/08/2018,7753,5739,406,207,5.739,0.406
28/08/2018,7408,5381,463,186,5.381,0.463
29/08/2018,7766,5681,227,196,5.681,0.227
30/08/2018,852,551,82,24,0.551,0.082
31/08/2018,2517,1864,187,75,1.864,0.187
01/09/2018,655,423,44,18,0.423,0.044
02/09/2018,1745,1211,148,49,1.211,0.148
03/09/2018,19099,15005,275,554,15.005,0.275
04/09/2018,2495,1762,206,68,1.762,0.206
05/09/2018,857,554,110,22,0.554,0.110
06/09/2018,7736,5670,470,199,5.670,0.470
07/09/2018,6140,4581,283,170,4.581,0.283
08/09/2018,509,329,84,14,0.329,0.084
09/09/2018,4168,3154,171,122,3.154,0.171
10/09/2018,9752,7074,678,248,7.074,0.678
11/09/2018,12261,8851,425,306,8.851,0.425
12/09/2018,3755,2775,92,103,2.775,0.092
13/09/2018,13960,10406,421,363,10.406,0.421
14/09/2018,8378,5963,461,200,5.963,0.461
15/09/2018,19272,13706,384,440,13.706,0.384
16/09/2018,4054,2982,187,110,2.982,0.187
17/09/2018,8739,6454,409,232,6.454,0.409
18/09/2018,15103,10962,1287,377,10.962,1.287
19/09/2018,12331,9083,421,324,9.083,0.421
20/09/2018,7075,4956,457,167,4.956,0.457
21/09/2018,13357,10234,326,374,10.234,0.326
22/09/2018,2073,1403,140,54,1.403,0.140
23/09/2018,15394,11561,429,401,11.561,0.429
24/09/2018,10022,7572,614,286,7.572,0.614
25/09/2018,6804,5011,299,174,5.011,0.299
26/09/2018,11046,8012,574,271,8.012,0.574
27/09/2018,15581,11600,366,402,11.600,0.366
28/09/2018,1824,1254,132,46,1.254,0.132
29/09/2018,8859,6800,241,248,6.800,0.241
30/09/2018,9357,6969,228,241,6.969,0.228
01/10/2018,19897,14799,669,512,14.799,0.669
02/10/2018,12881,9560,536,340,9.560,0.536
03/10/2018,5896,4100,226,150,4.100,0.226
04/10/2018,4795,3432,182,120,3.432,0.182
05/10/2018,12115,8832,302,297,8.832,0.302
06/10/2018,3939,2812,143,100,2.812,0.143
07/10/2018,10635,7754,62,248,7.754,0.062
08/10/2018,6920,5280,111,184,5.280,0.111
09/10/2018,14052,10672,206,362,10.672,0.206
10/10/2018,10861,8092,73,266,8.092,0.073
11/10/2018,18771,13743,371,444,13.743,0.371
12/10/2018,16760,12007,222,377,12.007,0.222
13/10/2018,12539,9143,298,302,9.143,0.298
14/10/2018,13883,10330,555,361,10.330,0.555
15/10/2018,4627,3083,255,100,3.083,0.255
16/10/2018,6390,4604,265,151,4.604,0.265
17/10/2018,7008,5124,374,182,5.124,0.374
18/10/2018,3229,2215,197,76,2.215,0.197
19/10/2018,3230,2125,207,70,2.125,0.207
20/10/2018,1582,1030,217,38,1.030,0.217
21/10/2018,7988,5903,177,193,5.903,0.177
22/10/2018,6134,4225,268,138,4.225,0.268
23/10/2018,2419,1564,239,54,1.564,0.239
24/10/2018,11046,7994,381,278,7.994,0.381
25/10/2018,1144,739,79,28,0.739,0.079
26/10/2018,1622,1069,179,41,1.069,0.179
27/10/2018,1197,819,69,29,0.819,0.069
28/10/2018,526,349,22,12,0.349,0.022
29/10/2018,3882,2601,367,90,2.601,0.367
30/10/2018,4517,3057,346,106,3.057,0.346
31/10/2018,2587,1729,250,65,1.729,0.250
01/11/2018,2884,1876,225,63,1.876,0.225
02/11/2018,3244,2237,223,78,2.237,0.223
03/11/2018,219,142,27,7,0.142,0.027
04/11/2018,492,318,61,13,0.318,0.061
05/11/2018,1624,1059,212,38,1.059,0.212
06/11/2018,2592,1713,294,60,1.713,0.294
07/11/2018,10810,8438,183,320,8.438,0.183
08/11/2018,272,176,55,7,0.176,0.055
09/11/2018,0,0,0,0,0.000,0.000
10/11/2018,14,9,9,1,0.009,0.009
11/11/2018,0,0,0,0,0.000,0.000
12/11/2018,6532,4779,201,159,4.779,0.201
13/11/2018,4603,3462,91,125,3.462,0.091
14/11/2018,7273,5412,305,199,5.412,0.305
15/11/2018,4046,3016,164,112,3.016,0.164
16/11/2018,10475,7917,305,285,7.917,0.305
17/11/2018,23843,17379,762,593,17.379,0.762
18/11/2018,24505,17849,185,580,17.849,0.185
19/11/2018,9186,6653,204,229,6.653,0.204
20/11/2018,5143,3745,226,131,3.745,0.226
21/11/2018,8013,5840,153,204,5.840,0.153
22/11/2018,1979,1366,161,46,1.366,0.161
23/11/2018,3689,2503,240,88,2.503,0.240
24/11/2018,14,9,0,1,0.009,0.000
25/11/2018,684,470,25,16,0.470,0.025
26/11/2018,6934,4953,399,167,4.953,0.399
27/11/2018,2719,1903,188,65,1.903,0.188
28/11/2018,2147,1472,267,50,1.472,0.267
29/11/2018,1966,1385,148,48,1.385,0.148
30/11/2018,7936,5522,558,192,5.522,0.558
01/12/2018,10513,7298,1149,246,7.298,1.149
02/12/2018,7559,5183,605,187,5.183,0.605
03/12/2018,4874,3496,164,115,3.496,0.164
04/12/2018,2637,1798,174,61,1.798,0.174
05/12/2018,4818,3575,136,127,3.575,0.136
06/12/2018,6953,5394,36,189,5.394,0.036
07/12/2018,2776,1954,116,70,1.954,0.116
08/12/2018,5822,3983,423,145,3.983,0.423
09/12/2018,7178,4826,456,162,4.826,0.456
10/12/2018,5216,3822,265,136,3.822,0.265
11/12/2018,9581,7282,308,274,7.282,0.308
12/12/2018,7766,5698,465,196,5.698,0.465
13/12/2018,6580,4999,256,188,4.999,0.256
14/12/2018,10123,7173,618,250,7.173,0.618
15/12/2018,1869,1278,72,43,1.278,0.072
16/12/2018,9915,6988,468,242,6.988,0.468
17/12/2018,5955,4287,264,143,4.287,0.264
18/12/2018,4094,3006,160,103,3.006,0.160
19/12/2018,4193,3053,115,108,3.053,0.115
20/12/2018,1749,1228,120,44,1.228,0.120
21/12/2018,5862,3981,316,136,3.981,0.316
22/12/2018,9064,6233,943,220,6.233,0.943
23/12/2018,7124,4811,395,156,4.811,0.395
24/12/2018,2356,1695,58,58,1.695,0.058
25/12/2018,28,18,0,1,0.018,0.000
26/12/2018,12,8,0,1,0.008,0.000
27/12/2018,11047,7691,689,255,7.691,0.689
28/12/2018,7587,5192,483,173,5.192,0.483
29/12/2018,1019,751,7,25,0.751,0.007
30/12/2018,9078,6242,512,207,6.242,0.512
31/12/2018,10551,7277,665,249,7.277,0.665
01/01/2019,10937,7515,620,251,7.515,0.620
02/01/2019,9095,6039,800,205,6.039,0.800
03/01/2019,1805,1295,99,45,1.295,0.099
04/01/2019,29176,20808,1215,681,20.808,1.215
05/01/2019,4684,3431,218,122,3.431,0.218
06/01/2019,21642,15753,356,523,15.753,0.356
07/01/2019,5751,3993,390,146,3.993,0.390
08/01/2019,7934,5639,758,199,5.639,0.758
09/01/2019,11385,8182,494,286,8.182,0.494
10/01/2019,1778,1225,162,47,1.225,0.162
11/01/2019,4766,3359,383,117,3.359,0.383
12/01/2019,6527,4521,414,155,4.521,0.414
13/01/2019,10433,7277,682,253,7.277,0.682
14/01/2019,5956,4182,389,145,4.182,0.389
15/01/2019,5311,3813,358,139,3.813,0.358
16/01/2019,1556,1095,58,36,1.095,0.058
17/01/2019,5918,4090,350,141,4.090,0.350
18/01/2019,3928,2868,171,102,2.868,0.171
19/01/2019,1318,920,23,30,0.920,0.023
20/01/2019,5473,4280,105,157,4.280,0.105
21/01/2019,8603,5989,622,205,5.989,0.622
22/01/2019,4750,3434,245,122,3.434,0.245
23/01/2019,10434,7586,434,272,7.586,0.434
24/01/2019,0,0,0,0,0.000,0.000
25/01/2019,14087,10107,576,350,10.107,0.576
26/01/2019,15202,10776,440,343,10.776,0.440
27/01/2019,17939,12890,216,412,12.890,0.216
28/01/2019,5738,4094,258,141,4.094,0.258
29/01/2019,4860,3423,219,114,3.423,0.219
30/01/2019,2791,1938,84,67,1.938,0.084
31/01/2019,9891,7070,356,250,7.070,0.356
01/02/2019,11570,8306,463,299,8.306,0.463
02/02/2019,12026,8819,865,328,8.819,0.865
03/02/2019,53,34,0,2,0.034,0.000
04/02/2019,11653,8175,419,278,8.175,0.419
05/02/2019,5989,4385,289,150,4.385,0.289
06/02/2019,9444,7311,54,249,7.311,0.054
07/02/2019,3761,2709,243,94,2.709,0.243
08/02/2019,14976,10834,626,373,10.834,0.626
09/02/2019,3231,2484,76,95,2.484,0.076
10/02/2019,0,0,0,0,0.000,0.000
11/02/2019,13890,10347,854,379,10.347,0.854
12/02/2019,1745,1290,26,48,1.290,0.026
13/02/2019,8975,6901,220,233,6.901,0.220
14/02/2019,11950,8738,472,312,8.738,0.472
15/02/2019,13624,10133,659,357,10.133,0.659
16/02/2019,19299,13717,417,444,13.717,0.417
17/02/2019,23412,16717,509,547,16.717,0.509
18/02/2019,10676,7625,465,257,7.625,0.465
19/02/2019,3383,2318,230,83,2.318,0.230
20/02/2019,2737,2078,58,75,2.078,0.058
21/02/2019,1692,1265,22,46,1.265,0.022
22/02/2019,7544,5383,356,188,5.383,0.356
23/02/2019,1219,873,37,30,0.873,0.037
24/02/2019,11553,8701,813,317,8.701,0.813
25/02/2019,12452,9033,1355,323,9.033,1.355
26/02/2019,9380,7335,331,284,7.335,0.331
27/02/2019,2269,1653,126,59,1.653,0.126
28/02/2019,9241,6797,426,252,6.797,0.426
01/03/2019,30526,22261,497,722,22.261,0.497
02/03/2019,25973,19102,749,638,19.102,0.749
03/03/2019,11923,8922,356,311,8.922,0.356
04/03/2019,21917,16428,793,595,16.428,0.793
05/03/2019,3936,2876,166,96,2.876,0.166
06/03/2019,9807,7387,378,266,7.387,0.378
07/03/2019,9447,6852,774,243,6.852,0.774
08/03/2019,9955,6985,708,238,6.985,0.708
09/03/2019,11187,8103,377,282,8.103,0.377
10/03/2019,7292,5092,381,175,5.092,0.381
11/03/2019,9365,6629,418,230,6.629,0.418
12/03/2019,12058,8633,963,308,8.633,0.963
13/03/2019,12122,9212,261,338,9.212,0.261
14/03/2019,8974,6308,641,221,6.308,0.641
15/03/2019,22522,16236,336,515,16.236,0.336
16/03/2019,11359,8094,570,257,8.094,0.570
17/03/2019,10055,7046,573,236,7.046,0.573
18/03/2019,20455,14875,572,486,14.875,0.572
19/03/2019,11491,7936,931,268,7.936,0.931
20/03/2019,8526,6269,248,220,6.269,0.248
21/03/2019,13164,10246,348,387,10.246,0.348
22/03/2019,8293,5948,301,202,5.948,0.301
23/03/2019,11166,8325,172,285,8.325,0.172
24/03/2019,0,0,0,0,0.000,0.000
25/03/2019,6955,5191,156,186,5.191,0.156
26/03/2019,10176,7702,304,286,7.702,0.304
27/03/2019,14546,10597,513,381,10.597,0.513
28/03/2019,9013,6983,250,264,6.983,0.250
29/03/2019,10031,7714,310,295,7.714,0.310
30/03/2019,8980,6496,427,234,6.496,0.427
31/03/2019,6940,4962,344,181,4.962,0.344
01/04/2019,2474,1708,82,56,1.708,0.082
02/04/2019,9711,6932,531,240,6.932,0.531
03/04/2019,6419,4746,443,171,4.746,0.443
04/04/2019,2148,1490,170,52,1.490,0.170
05/04/2019,10353,7370,1117,262,7.370,1.117
06/04/2019,13815,10971,2953,466,10.971,2.953
07/04/2019,3127,2073,200,71,2.073,0.200
08/04/2019,9157,6332,478,214,6.332,0.478
09/04/2019,13611,10029,406,346,10.029,0.406
10/04/2019,9869,6884,510,236,6.884,0.510
11/04/2019,2421,1726,184,59,1.726,0.184
12/04/2019,1280,912,24,33,0.912,0.024
13/04/2019,8453,5868,547,207,5.868,0.547
14/04/2019,6624,5766,3451,281,5.766,3.451
15/04/2019,7286,4933,603,173,4.933,0.603
16/04/2019,7313,5425,218,193,5.425,0.218
17/04/2019,9048,6333,1404,237,6.333,1.404
18/04/2019,18547,13908,517,496,13.908,0.517
19/04/2019,20401,14667,276,467,14.667,0.276
20/04/2019,15028,10555,172,337,10.555,0.172
21/04/2019,30382,22422,256,754,22.422,0.256
22/04/2019,23829,17416,859,582,17.416,0.859
23/04/2019,7037,5105,336,179,5.105,0.336
24/04/2019,7952,6148,131,231,6.148,0.131
25/04/2019,4801,3277,285,117,3.277,0.285
26/04/2019,10577,7525,640,265,7.525,0.640
27/04/2019,1360,879,153,30,0.879,0.153
28/04/2019,6830,4886,619,180,4.886,0.619
29/04/2019,8262,5654,1075,201,5.654,1.075
30/04/2019,6053,4524,409,169,4.524,0.409
01/05/2019,8666,6779,191,238,6.779,0.191
02/05/2019,1718,1110,130,40,1.110,0.130
03/05/2019,8502,6217,473,233,6.217,0.473
04/05/2019,3300,2279,216,80,2.279,0.216
05/05/2019,10093,7011,614,246,7.011,0.614
06/05/2019,11186,7914,546,271,7.914,0.546
07/05/2019,13892,9832,1152,347,9.832,1.152
08/05/2019,4487,3152,337,114,3.152,0.337
09/05/2019,2009,1303,169,47,1.303,0.169
10/05/2019,2506,1758,193,62,1.758,0.193
11/05/2019,8194,6001,935,226,6.001,0.935
12/05/2019,9059,6418,641,229,6.418,0.641
13/05/2019,8123,6716,3064,310,6.716,3.064
14/05/2019,7416,5144,1034,181,5.144,1.034
