date,deepSleepTime,shallowSleepTime,wakeTime,startDateTime,stopDateTime,start,stop
10/5/2022,54,254,0,###############################################################################################################################################################################################################################################################,1652166060,2022-05-10 00:42:00,2022-05-10 07:01:00
9/5/2022,53,191,0,###############################################################################################################################################################################################################################################################,1652078580,2022-05-09 01:50:00,2022-05-09 06:43:00
8/5/2022,58,439,0,###############################################################################################################################################################################################################################################################,1651996440,2022-05-07 22:44:00,2022-05-08 07:54:00
7/5/2022,0,0,0,###############################################################################################################################################################################################################################################################,1651788000,2022-05-05 22:00:00,2022-05-05 22:00:00
6/5/2022,67,279,2,###############################################################################################################################################################################################################################################################,1651820820,2022-05-05 23:57:00,2022-05-06 07:07:00
5/5/2022,108,209,0,###############################################################################################################################################################################################################################################################,1651734720,2022-05-05 00:39:00,2022-05-05 07:12:00
4/5/2022,101,257,3,###############################################################################################################################################################################################################################################################,1651648980,2022-05-04 00:13:00,2022-05-04 07:23:00
3/5/2022,64,197,0,###############################################################################################################################################################################################################################################################,1651554540,2022-05-02 23:43:00,2022-05-03 05:09:00
2/5/2022,54,187,12,###############################################################################################################################################################################################################################################################,1651475400,2022-05-02 02:06:00,2022-05-02 07:10:00
1/5/2022,135,415,0,###############################################################################################################################################################################################################################################################,1651405800,2022-05-01 00:52:00,2022-05-01 11:50:00
30/04/2022,70,340,0,###############################################################################################################################################################################################################################################################,1651306860,2022-04-30 00:43:00,2022-04-30 08:21:00
